20|DOMESTIC RELATIONS|||||1|PRE-MARITAL SYPHILIS TESTS AND EXAMINATIONS [Repealed]|||||§§ 20-1 through 20-12|Repealed.|<p>Repealed by Acts 1984, c. 140.</p>
20|DOMESTIC RELATIONS|||||5|DESERTION AND NONSUPPORT|||||§ 20-88.02:1|Limitations on spousal support orders resulting in eligibility for medical assistance services; definitions.|<p>A. Whenever any court shall determine that any petition for a spousal support order will have the effect of rendering either spouse eligible for medical assistance services or for accelerating eligibility for medical assistance services, and the community spouse is asking for additional resources which will bring his total resources to an amount in excess of the federally established maximum spousal resource allowance:</p><p>1. The court shall not enter the requested spousal support order unless the court first orders the institutionalized spouse to make available the maximum income contribution to the community spouse.</p><p>2. The court must ascertain, when determining additional income in excess of the federally established community spouse minimum monthly maintenance needs allowance, that the increase is necessary due to exceptional circumstances resulting in significant financial duress to the community spouse.</p><p>3. When determining the amount of any additional resources to be allowed to raise the community spouse's income up to either the federally established community spouse minimum monthly maintenance needs allowance or in excess of such minimum monthly maintenance needs allowance, the amount of such additional resources to be allowed shall be the greater of (i) those additional resources necessary to generate an amount sufficient to increase the community spouse's income to the applicable monthly needs or income allowance, as the case may be when based on the current earnings of such resources or (ii) the amount necessary, at the time of the court's deliberations, to purchase a single premium annuity that would generate monthly income to the community spouse in an amount sufficient to increase the community spouse's income to the applicable monthly needs or income allowance, as the case may be.</p><p>B. For the purpose of making the determinations required by this section:</p><p>"Community spouse" means the spouse of an individual residing in a medical institution or nursing facility.</p><p>"Federally established maximum spousal resource allowance" means that amount established as the maximum spousal resource allowance in 42 U.S.C. 1396r-5 (f) (2) (A) as adjusted annually in accordance with 42 U.S.C. 1396r-5 (g).</p><p>"Institutionalized spouse" means an individual who has been residing in a medical institution or nursing facility for at least thirty consecutive days and who is married to an individual who is not residing in a medical institution or nursing facility.</p><p>"Significant financial duress" means, but is not limited to, threatened loss of basic shelter, food or medically necessary health care or the financial burden of caring for a disabled child, sibling or other immediate relative.</p><p>1994, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0836'>836</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0952'>952</a>.</p>
20|DOMESTIC RELATIONS|||||5.1|CIVIL PROCEEDINGS TO COMPEL SUPPORT [Repealed]|||||§§ 20-88.1 through 20-88.11|Repealed.|<p>Repealed by Acts 1952, c. 516.</p>
20|DOMESTIC RELATIONS|||||5.2|REVISED UNIFORM RECIPROCAL ENFORCEMENT OF SUPPORT ACT [Repealed]|||||§§ 20-88.12 through 20-88.31|Repealed.|<p>Repealed by Acts 1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|1|General Provisions|||§ 20-88.32|Definitions.|<p>In this chapter:</p><p>"Child" means an individual, whether over or under the age of majority, who is or is alleged to be owed a duty of support by the individual's parent or who is or is alleged to be the beneficiary of a support order directed to the parent.</p><p>"Child support order" means a support order for a child, including a child who has attained the age of majority under the law of the issuing state or foreign country.</p><p>"Convention" means the Convention on the International Recovery of Child Support and Other Forms of Family Maintenance, concluded at The Hague on November 23, 2007.</p><p>"Duty of support" means an obligation imposed or imposable by law to provide support for a child, spouse, or former spouse, including an unsatisfied obligation to provide support.</p><p>"Employer" means the source of any income as defined in § <a href='http://law.lis.virginia.gov/vacode/63.2-1900/'>63.2-1900</a>.</p><p>"Foreign country" means a country, including a political subdivision thereof, other than the United States, that authorizes the issuance of support orders and:</p><p>1. That has been declared under the law of the United States to be a foreign reciprocating country;</p><p>2. That has established a reciprocal arrangement for child support with the Commonwealth as provided in § <a href='http://law.lis.virginia.gov/vacode/20-88.50/'>20-88.50</a>;</p><p>3. That has enacted a law or established procedures for the issuance and enforcement of support orders which are substantially similar to the procedures under this chapter; or</p><p>4. In which the Convention is in force with respect to the United States.</p><p>"Foreign support order" means a support order of a foreign tribunal.</p><p>"Foreign tribunal" means a court, administrative agency, or quasi-judicial entity of a foreign country which is authorized to establish, enforce, or modify support orders or to determine parentage of a child. The term includes a competent authority under the Convention.</p><p>"Home state" means the state or foreign country in which a child lived with a parent or a person acting as parent for at least six consecutive months immediately preceding the time of filing of a petition or comparable pleading for support and, if a child is less than six months old, the state or foreign country in which the child lived from birth with any of them. A period of temporary absence of any of them is counted as part of the six-month or other period.</p><p>"Income" includes earnings or other periodic entitlements to money from any source and any other property subject to withholding for support under the law of the Commonwealth.</p><p>"Income-withholding order" means an order or other legal process directed to an obligor's employer or other debtor, to withhold support from the obligor's income as defined in § <a href='http://law.lis.virginia.gov/vacode/63.2-1900/'>63.2-1900</a>.</p><p>"Initiating tribunal" means the tribunal of a state or foreign country from which a petition or comparable pleading is forwarded or in which a petition or comparable pleading is filed for forwarding to another state or foreign country.</p><p>"Issuing foreign country" means the foreign country in which a tribunal issues a support order or a judgment determining parentage of a child.</p><p>"Issuing state" means the state in which a tribunal issues a support order or a judgment determining parentage of a child.</p><p>"Issuing tribunal" means the tribunal of a state or foreign country that issues a support order or a judgment determining parentage of a child.</p><p>"Law" includes decisional and statutory law and rules and regulations having the force of law.</p><p>"Obligee" means (i) an individual to whom a duty of support is or is alleged to be owed or in whose favor a support order or a judgment determining parentage of a child has been issued, (ii) a foreign country, state, or political subdivision of a state to which the rights under a duty of support or support order have been assigned or which has independent claims based on financial assistance provided to an individual obligee in place of child support, (iii) an individual seeking a judgment determining parentage of the individual's child, or (iv) a person that is a creditor in a proceeding under Article 13 (§ <a href='http://law.lis.virginia.gov/vacode/20-88.83/'>20-88.83</a> et seq.).</p><p>"Obligor" means an individual, or the estate of a decedent that (i) owes or is alleged to owe a duty of support, (ii) is alleged but has not been adjudicated to be a parent of a child, (iii) is liable under a support order, or (iv) is a debtor in a proceeding under Article 13 (§ <a href='http://law.lis.virginia.gov/vacode/20-88.83/'>20-88.83</a> et seq.).</p><p>"Outside the Commonwealth" means a location in another state, political subdivision of a state, or a country other than the United States, whether or not the country is a foreign country.</p><p>"Person" means an individual, corporation, business trust, estate, trust, partnership, limited liability company, association, joint venture, public corporation, government or governmental subdivision, agency, or instrumentality, or any other legal or commercial entity.</p><p>"Record" means information that is inscribed on a tangible medium or that is stored in an electronic or other medium and is retrievable in perceivable form.</p><p>"Register" means to file in a tribunal of the Commonwealth a support order or judgment determining parentage of a child issued in another state or a foreign country.</p><p>"Registering tribunal" means a tribunal in which a support order or judgment determining parentage of a child is registered.</p><p>"Responding state" means a state or a foreign country in which a petition or comparable pleading for support or to determine parentage of a child is filed or to which a petition or comparable pleading is forwarded for filing from another state or a foreign country.</p><p>"Responding tribunal" means the authorized tribunal in a responding state or foreign country.</p><p>"Spousal-support order" means a support order for a spouse or former spouse of the obligor.</p><p>"State" means a state of the United States, the District of Columbia, Puerto Rico, the United States Virgin Islands or any territory or insular possession under the jurisdiction of the United States. The term includes an Indian nation or tribe.</p><p>"Support enforcement agency" means a public official, governmental entity, or private agency authorized to (i) seek enforcement of support orders or laws relating to the duty of support, (ii) seek establishment or modification of child support, (iii) request determination of parentage of a child, (iv) attempt to locate obligors or their assets, or (v) request determination of the controlling child support order. A support enforcement agency of the Commonwealth is not authorized to establish or enforce a support order for spousal support only.</p><p>"Support order" means a judgment, decree, order, decision, or directive, whether temporary, final, or subject to modification, issued in a state or foreign country for the benefit of a child, a spouse, or a former spouse, which provides for monetary support, health care, arrearages, retroactive support, or reimbursement for financial assistance provided to an individual obligee in place of child support. The term may include related costs and fees, interest, income withholding, automatic adjustment, reasonable attorney's fees, and other relief.</p><p>"Tribunal" means a court, administrative agency, or quasi-judicial entity authorized to establish, enforce, or modify support orders or to determine parentage of a child; however, the support enforcement agency of the Commonwealth has no authority to establish or enforce a support order for spousal support only.</p><p>1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0484'>484</a>; 1996, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0882'>882</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0925'>925</a>; 1997, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?971+ful+CHAP0797'>797</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?971+ful+CHAP0897'>897</a>; 1998, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?981+ful+CHAP0727'>727</a>; 2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0754'>754</a>; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|1|General Provisions|||§ 20-88.32:1|Uniformity of application and construction.|<p>In applying and construing this Uniform Interstate Family Support Act, consideration shall be given to the need to promote uniformity of the law with respect to its subject matter among states that enact it.</p><p>2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|1|General Provisions|||§ 20-88.33|Tribunals of the Commonwealth and support enforcement agency.|<p>A. The juvenile and domestic relations district courts, circuit courts, and the Department of Social Services are the tribunals of the Commonwealth.</p><p>B. The Department of Social Services is the support enforcement agency of the Commonwealth.</p><p>1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>; 2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0754'>754</a>; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|1|General Provisions|||§ 20-88.34|Remedies cumulative.|<p>A. Remedies provided by this chapter are cumulative and do not affect the availability of remedies under other law or the recognition of a foreign support order on the basis of comity.</p><p>B. This chapter does not provide the exclusive method of establishing or enforcing a support order under the law of the Commonwealth or grant a tribunal of the Commonwealth jurisdiction to render judgment or issue an order relating to child custody or visitation in a proceeding under this chapter.</p><p>1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>; 2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0754'>754</a>; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|1|General Provisions|||§ 20-88.34:1|Application of chapter to resident of foreign country and foreign support proceeding.|<p>A. A tribunal of the Commonwealth shall apply Articles 1 through 9 (§ <a href='http://law.lis.virginia.gov/vacode/20-88.32/'>20-88.32</a> et seq.) and, as applicable, Article 13 (§ <a href='http://law.lis.virginia.gov/vacode/20-88.83/'>20-88.83</a> et seq.) to a support proceeding involving a foreign support order, a foreign tribunal, or an obligee, obligor, or child residing in a foreign country.</p><p>B. A tribunal of the Commonwealth that is requested to recognize and enforce a support order on the basis of comity may apply the procedural and substantive provisions of Articles 1 through 9 (§ <a href='http://law.lis.virginia.gov/vacode/20-88.32/'>20-88.32</a> et seq.).</p><p>C. Article 13 (§ <a href='http://law.lis.virginia.gov/vacode/20-88.83/'>20-88.83</a> et seq.) applies only to a support proceeding under the Convention. In such a proceeding, if a provision of Article 13 is inconsistent with Articles 1 through 9 (§ <a href='http://law.lis.virginia.gov/vacode/20-88.32/'>20-88.32</a> et seq.), Article 13 controls.</p><p>2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|2|EXTENDED PERSONAL JURISDICTION|||§ 20-88.35|Bases for jurisdiction over nonresident.|<p>In a proceeding to establish or enforce a support order or to determine parentage of a child, a tribunal of the Commonwealth may exercise personal jurisdiction over a nonresident individual or the individual's guardian or conservator if:</p><p>1. The individual is personally served with process within the Commonwealth;</p><p>2. The individual submits to the jurisdiction of the Commonwealth by consent, by entering a general appearance, or by filing a responsive document having the effect of waiving any contest to personal jurisdiction;</p><p>3. The individual resided with the child in the Commonwealth;</p><p>4. The individual resided in the Commonwealth and paid prenatal expenses or provided support for the child;</p><p>5. The child resides in the Commonwealth as a result of the acts or directives of the individual;</p><p>6. The individual engaged in sexual intercourse in the Commonwealth and the child may have been conceived by the act of intercourse;</p><p>7. The individual asserted parentage of a child in the Virginia Birth Father Registry maintained in the Commonwealth by the Department of Social Services;</p><p>8. The exercise of personal jurisdiction is authorized under subdivision A 8 of § <a href='http://law.lis.virginia.gov/vacode/8.01-328.1/'>8.01-328.1</a>; or</p><p>9. There is any other basis consistent with the constitutions of the Commonwealth and the United States for the exercise of personal jurisdiction.</p><p>The bases of personal jurisdiction set forth in this section or any other law of the Commonwealth may not be used to acquire personal jurisdiction for a tribunal of the Commonwealth to modify a child support order issued by a tribunal of another state unless the requirements of § <a href='http://law.lis.virginia.gov/vacode/20-88.76/'>20-88.76</a> or <a href='http://law.lis.virginia.gov/vacode/20-88.77:3/'>20-88.77:3</a> are met.</p><p>1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>; 2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0754'>754</a>; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>; 2017, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+CHAP0200'>200</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|2|EXTENDED PERSONAL JURISDICTION|||§ 20-88.36|Duration of personal jurisdiction.|<p>Personal jurisdiction acquired by a tribunal of the Commonwealth in a proceeding under this chapter or other law of the Commonwealth relating to a support order continues as long as a tribunal of the Commonwealth has continuing, exclusive jurisdiction to modify its order or continuing jurisdiction to enforce its order as provided by §§ <a href='http://law.lis.virginia.gov/vacode/20-88.39/'>20-88.39</a>, <a href='http://law.lis.virginia.gov/vacode/20-88.40/'>20-88.40</a> and <a href='http://law.lis.virginia.gov/vacode/20-88.43:2/'>20-88.43:2</a>.</p><p>1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0484'>484</a>; 2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0754'>754</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|3|JURISDICTION IN PROCEEDINGS INVOLVING TWO OR MORE STATES|||§ 20-88.37|Initiating and responding tribunal of the Commonwealth.|<p>Under this chapter, a tribunal of the Commonwealth may serve as an initiating tribunal to forward proceedings to a tribunal of another state and as a responding tribunal for proceedings initiated in another state or a foreign country.</p><p>1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|3|JURISDICTION IN PROCEEDINGS INVOLVING TWO OR MORE STATES|||§ 20-88.38|Simultaneous proceedings in another state.|<p>A. A tribunal of the Commonwealth may exercise jurisdiction to establish a support order if the petition or comparable pleading is filed after a pleading is filed in another state or foreign country only if:</p><p>1. The petition or comparable pleading in the Commonwealth is filed before the expiration of the time allowed in the other state or the foreign country for filing a responsive pleading challenging the exercise of jurisdiction by the other state or the foreign country;</p><p>2. The contesting party timely challenges the exercise of jurisdiction in the other state or the foreign country; and</p><p>3. If relevant, the Commonwealth is the home state of the child.</p><p>B. A tribunal of the Commonwealth may not exercise jurisdiction to establish a support order if the petition or comparable pleading is filed before a petition or comparable pleading is filed in another state or foreign country if:</p><p>1. The petition or comparable pleading in the other state or foreign country is filed before the expiration of the time allowed in the Commonwealth for filing a responsive pleading challenging the exercise of jurisdiction by the Commonwealth;</p><p>2. The contesting party timely challenges the exercise of jurisdiction in the Commonwealth; and</p><p>3. If relevant, the other state or foreign country is the home state of the child.</p><p>1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|3|JURISDICTION IN PROCEEDINGS INVOLVING TWO OR MORE STATES|||§ 20-88.39|Continuing, exclusive jurisdiction to modify child support order.|<p>A. A tribunal of the Commonwealth that has issued a child support order consistent with the law of the Commonwealth has and shall exercise continuing, exclusive jurisdiction to modify its child support order if the order is the controlling order, and:</p><p>1. At the time of the filing of a request for modification, the Commonwealth is the residence of the obligor, the individual obligee, or the child for whose benefit the support order is issued; or</p><p>2. Even if the Commonwealth is not the residence of the obligor, the individual obligee, or the child for whose benefit the support order is issued, the parties consent in a record that the tribunal of the Commonwealth may continue to exercise its jurisdiction to modify its order.</p><p>B. A tribunal of the Commonwealth that has issued a child support order consistent with the law of the Commonwealth may not exercise continuing, exclusive jurisdiction to modify the order if:</p><p>1. All of the parties who are individuals file consent in a record with the tribunal of the Commonwealth that a tribunal of another state that has jurisdiction over at least one of the parties who is an individual or who is located in the state of residence of the child may modify the order and assume continuing, exclusive jurisdiction; or</p><p>2. Its order is not the controlling order.</p><p>C. If a tribunal of another state has issued a child support order pursuant to this chapter or a law substantially similar to this chapter that modifies a child support order of a tribunal of the Commonwealth, tribunals of the Commonwealth shall recognize the continuing, exclusive jurisdiction of the tribunal of the other state.</p><p>D. A tribunal of the Commonwealth that lacks continuing, exclusive jurisdiction to modify a child support order may serve as an initiating tribunal to request a tribunal of another state to modify a support order issued in that state.</p><p>E. A temporary support order issued ex parte or pending resolution of a jurisdictional conflict does not create continuing, exclusive jurisdiction in the issuing tribunal.</p><p>F. The support enforcement agency of the Commonwealth is not authorized to establish or enforce a support order for spousal support only.</p><p>1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>; 1996, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0882'>882</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?961+ful+CHAP0925'>925</a>; 1997, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?971+ful+CHAP0797'>797</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?971+ful+CHAP0897'>897</a>; 2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0754'>754</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|3|JURISDICTION IN PROCEEDINGS INVOLVING TWO OR MORE STATES|||§ 20-88.40|Continuing jurisdiction to enforce child support order.|<p>A. A tribunal of the Commonwealth that has issued a child support order consistent with the law of the Commonwealth may serve as an initiating tribunal to request a tribunal of another state to enforce:</p><p>1. The order if the order is the controlling order and has not been modified by a tribunal of another state that assumed jurisdiction pursuant to this chapter; or</p><p>2. A money judgment for arrears of support and interest on the order accrued before a determination that an order of a tribunal of another state is the controlling order.</p><p>B. A tribunal of the Commonwealth having continuing jurisdiction over a support order may act as a responding tribunal to enforce the order.</p><p>1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>; 2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0754'>754</a>; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|4|RECONCILIATION OF TWO OR MORE ORDERS|||§ 20-88.41|Determination of controlling child support order.|<p>A. If a proceeding is brought under this chapter and only one tribunal has issued a child support order, the order of that tribunal controls and shall be so recognized.</p><p>B. If a proceeding is brought under this chapter, and two or more child support orders have been issued by tribunals of the Commonwealth or another state or foreign country with regard to the same obligor and same child, a tribunal of the Commonwealth having personal jurisdiction over both the obligor and individual obligee shall apply the following rules and by order shall determine which order controls and must be recognized:</p><p>1. If only one of the tribunals would have continuing, exclusive jurisdiction under this chapter, the order of that tribunal controls.</p><p>2. If more than one of the tribunals would have continuing, exclusive jurisdiction under this chapter, (i) an order issued by a tribunal in the current home state of the child controls, or (ii) if an order has not been issued in the current home state of the child, the order most recently issued controls.</p><p>3. If none of the tribunals would have continuing, exclusive jurisdiction under this chapter, a tribunal of the Commonwealth shall issue a child support order, which controls.</p><p>C. If two or more child support orders have been issued for the same obligor and same child, upon request of a party who is an individual or a support enforcement agency, a tribunal of the Commonwealth having personal jurisdiction over both the obligor and the obligee who is an individual shall determine which order controls under subsection B. The request may be filed with a registration for enforcement or registration for modification pursuant to Articles 8 (§ <a href='http://law.lis.virginia.gov/vacode/20-88.66/'>20-88.66</a> et seq.) and 9 (§ <a href='http://law.lis.virginia.gov/vacode/20-88.74/'>20-88.74</a> et seq.) or may be filed as a separate proceeding.</p><p>D. A request to determine which is the controlling order shall be accompanied by a copy of every child support order in effect and the applicable record of payments. The requesting party shall give notice of the request to each party whose rights may be affected by the determination.</p><p>E. The tribunal that issued the controlling order under subsection A, B or C has continuing jurisdiction to the extent provided in § <a href='http://law.lis.virginia.gov/vacode/20-88.39/'>20-88.39</a> or <a href='http://law.lis.virginia.gov/vacode/20-88.40/'>20-88.40</a>.</p><p>F. A tribunal of the Commonwealth that determines by order which is the controlling order under subdivision B 1 or B 2 or under subsection C or that issues a new controlling order under subdivision B 3 shall state in that order:</p><p>1. The basis upon which the tribunal made its determination;</p><p>2. The amount of prospective support, if any; and</p><p>3. The total amount of consolidated arrears and accrued interest, if any, under all of the orders after all payments made are credited as provided by § <a href='http://law.lis.virginia.gov/vacode/20-88.43/'>20-88.43</a>.</p><p>G. Within 30 days after issuance of an order determining which is the controlling order, the party obtaining that order shall file a certified copy of it in each tribunal that had issued or registered an earlier order of child support. A party or support enforcement agency obtaining the order that fails to file a certified copy is subject to appropriate sanctions by a tribunal in which the issue of failure arises. The failure to file does not affect the validity or enforceability of the controlling order.</p><p>H. An order that has been determined to be the controlling order, or a judgment for consolidated arrears of support and interest, if any, made pursuant to this section shall be recognized in proceedings under this chapter.</p><p>1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>; 1997, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?971+ful+CHAP0797'>797</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?971+ful+CHAP0897'>897</a>; 2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0754'>754</a>; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|4|RECONCILIATION OF TWO OR MORE ORDERS|||§ 20-88.42|Child support orders for two or more obligees.|<p>In responding to registrations or petitions for enforcement of two or more child support orders in effect at the same time with regard to the same obligor and different individual obligees, at least one of which was issued by a tribunal of another state or a foreign country, a tribunal of the Commonwealth shall enforce those orders in the same manner as if the orders had been issued by a tribunal of the Commonwealth.</p><p>1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>; 2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0754'>754</a>; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|4|RECONCILIATION OF TWO OR MORE ORDERS|||§ 20-88.43|Credit for payments.|<p>A tribunal of the Commonwealth shall credit amounts collected for a particular period pursuant to any child support order against the amounts owed for the same period under any other child support order for support of the same child issued by a tribunal of this or another state or a foreign country.</p><p>1994, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?941+ful+CHAP0673'>673</a>; 2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0754'>754</a>; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|4|RECONCILIATION OF TWO OR MORE ORDERS|||§ 20-88.43:1|Application to nonresident subject to personal jurisdiction.|<p>A tribunal of the Commonwealth exercising personal jurisdiction over a nonresident in a proceeding under this chapter, under other law of the Commonwealth relating to a support order, or recognizing a foreign support order may receive evidence from outside the Commonwealth pursuant to § <a href='http://law.lis.virginia.gov/vacode/20-88.59/'>20-88.59</a>, communicate with a tribunal of another state outside the Commonwealth pursuant to § <a href='http://law.lis.virginia.gov/vacode/20-88.60/'>20-88.60</a> and obtain discovery through a tribunal outside the Commonwealth pursuant to § <a href='http://law.lis.virginia.gov/vacode/20-88.61/'>20-88.61</a>. In all other respects, Articles 5 through 9 (§ <a href='http://law.lis.virginia.gov/vacode/20-88.44/'>20-88.44</a> et seq.) do not apply and the tribunal shall apply the procedural and substantive law of the Commonwealth.</p><p>2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0754'>754</a>; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
20|DOMESTIC RELATIONS|||||5.3|UNIFORM INTERSTATE FAMILY SUPPORT ACT|4|RECONCILIATION OF TWO OR MORE ORDERS|||§ 20-88.43:2|Continuing, exclusive jurisdiction to modify spousal support order.|<p>A. A court of the Commonwealth issuing a spousal support order consistent with the law of the Commonwealth has continuing, exclusive jurisdiction to modify the spousal support order throughout the existence of the support obligation.</p><p>B. A court of the Commonwealth may not modify a spousal support order issued by a tribunal of another state or a foreign country having continuing, exclusive jurisdiction over that order under the law of that state or foreign country.</p><p>C. A court of the Commonwealth that has continuing, exclusive jurisdiction over a spousal support order may serve as:</p><p>1. An initiating court to request a tribunal of another state to enforce the spousal support order issued in the Commonwealth; or</p><p>2. A responding court to enforce or modify its own spousal support order.</p><p>2005, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?051+ful+CHAP0754'>754</a>; 2015, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?151+ful+CHAP0727'>727</a>.</p>
